nom,cognoms,data_naixement,telefon,email,adreca
Evan,MacMillan,1890-01-01,971666666,trapper@asesinos.com,Thompson House
Philip,Ojomo,1900-05-12,971666666,wraith@asesinos.com,Autohaven Wreckers
Max,Thompson Jr,1950-07-20,971666666,hillbilly@asesinos.com,Coldwind Farm 
Sally,Smithson,1870-03-14,971666666,nurse@asesinos.com,Crotus Prenn Asylum
Anna,Huntress,1905-11-02,971666666,huntress@asesinos.com,Red Forest
Michael,Myers,1957-10-19,971666666,shape@asesinos.com,Haddonfield
Lisa,Sherwood,1700-06-06,971666666,hag@asesinos.com,Backwater Swamp
Herman,Carter,1920-09-30,971666666,doctor@asesinos.com,Léry's Memorial Institute
Bubba,Sawyer,1945-08-18,971666666,cannibal@asesinos.com,Coldwind Farm - Dead Dawg Saloon
Freddy,Krueger,1942-02-27,971666666,nightmare@asesinos.com,Springwood
Amanda,Young,1975-04-10,971666666,pig@asesinos.com,Gideon Meat Plant
Kenneth,Johnson,1932-12-05,971666666,clown@asesinos.com,Father Campbell's Chapel
Rin,Yamaoka,1990-01-17,971666666,spirit@asesinos.com,Yamaoka Estate
Frank,Morrison,1998-05-03,971666666,legion@asesinos.com,Mount Ormond Resort
Adiris,Plague,0100-04-22,971666666,plague@asesinos.com,Temple of Purgation
